OrderNo;CustNo;SaleDate;ShipDate;EmpNo;ShipToContact;ShipToAddr1;ShipToAddr2;ShipToCity;ShipToState;ShipToZip;ShipToCountry;ShipToPhone;ShipVIA;PO;Terms;PaymentMethod;ItemsTotal;TaxRate;Freight;AmountPaid
1003;1351;1988/04/12T00:00:00;1988/05/03T00:00:00;114;;;;;;;;;UPS;;FOB;Credit;1250;4,5;0;0
1004;2156;1988/04/17T00:00:00;1988/04/18T00:00:00;145;"Maria Eventosh";"PO Box 737";;Johannesburg;;2042;"Republic So. Africa";27-11-4432458;DHL;;FOB;Check;7885;0;0;7885
1005;1356;1988/04/20T00:00:00;1988/01/21T00:00:00;110;;;;;;;;;UPS;;FOB;Visa;4807;0;0;4807
1006;1380;1994/11/06T00:00:00;1988/11/07T00:00:00;46;;;;;;;;;Emery;P101324;FOB;Visa;31987;0;0;0
1007;1384;1988/05/01T00:00:00;1988/05/02T00:00:00;45;;;;;;;;;"US Mail";;FOB;Visa;6500;0;0;6500
1008;1510;1988/05/03T00:00:00;1988/05/04T00:00:00;12;;;;;;;;;"US Mail";;"Net 30";Visa;1449,5;0;0;0
1009;1513;1988/05/11T00:00:00;1988/05/12T00:00:00;71;;;;;;;;;"US Mail";;"Net 30";COD;5587;0;0;0
1010;1551;1988/05/11T00:00:00;1988/05/12T00:00:00;46;;;;;;;;;UPS;;"Net 30";COD;4996;0;0;4996
1011;1560;1988/05/18T00:00:00;1988/05/19T00:00:00;5;;;;;;;;;UPS;;"Net 30";COD;2679,85;0;0;2679,85
1012;1563;1988/05/19T00:00:00;1988/05/20T00:00:00;118;;;;;;;;;UPS;;"Net 30";Credit;5201;0;0;5201
1013;1624;1988/05/25T00:00:00;1988/05/26T00:00:00;134;;;;;;;;;Emery;;"Net 30";Credit;3115;0;0;3115
1014;1645;1988/05/25T00:00:00;1988/05/26T00:00:00;144;;;;;;;;;Emery;;"Net 30";Credit;134,85;0;0;134,85
1015;1651;1988/05/25T00:00:00;1988/05/26T00:00:00;71;;;;;;;;;Emery;;FOB;MC;20321,75;0;0;20321,75
1016;1680;1988/06/02T00:00:00;1988/06/03T00:00:00;65;;;;;;;;;UPS;;FOB;AmEx;2605;0;0;0
1017;1984;1988/06/12T00:00:00;1988/06/13T00:00:00;28;;;;;;;;;DHL;;FOB;Check;10195;0;0;0
1018;2118;1988/06/18T00:00:00;1988/06/19T00:00:00;118;;;;;;;;;DHL;;FOB;Check;5256;0;0;0
1019;2135;1988/06/24T00:00:00;1988/06/25T00:00:00;114;;;;;;;;;DHL;;"Net 30";Credit;20602;0;0;0
1020;2156;1988/06/24T00:00:00;1988/06/25T00:00:00;61;;;;;;;;;DHL;;"Net 30";Credit;9955;0;0;9955
1021;2163;1988/06/24T00:00:00;1988/06/25T00:00:00;52;;;;;;;;;UPS;;"Net 30";Credit;3719;0;0;3719
1022;2163;1988/06/30T00:00:00;1988/07/01T00:00:00;46;;;;;;;;;UPS;;"Net 30";Credit;10064,65;0;0;10064,65
1023;1221;1988/07/01T00:00:00;1988/07/02T00:00:00;5;;;;;;;;;UPS;;"Net 30";Check;4674;0;0;4674
1024;3151;1988/07/02T00:00:00;1988/07/03T00:00:00;2;;;;;;;;;UPS;;"Net 30";Check;6897;0;0;6897
1025;1510;1988/07/03T00:00:00;1988/07/04T00:00:00;8;;;;;;;;;DHL;;"Net 30";AmEx;930;0;0;930
1026;1624;1988/07/07T00:00:00;1988/07/08T00:00:00;44;;;;;;;;;UPS;;"Net 30";AmEx;2920;0;0;2920
1027;1384;1988/07/07T00:00:00;1988/07/08T00:00:00;34;;;;;;;;;UPS;;"Net 30";Visa;25210;0;0;25210
1028;1651;1988/07/07T00:00:00;1988/07/08T00:00:00;11;;;;;;;;;Emery;;FOB;Visa;343,8;0;0;343,8
1029;1645;1988/07/18T00:00:00;1988/07/19T00:00:00;110;;;;;;;;;FedEx;;FOB;MC;20108;0;0;20108
1030;3615;1988/07/25T00:00:00;1988/07/26T00:00:00;107;;;;;;;;;FedEx;;FOB;MC;559,6;0;0;559,6
1031;2118;1988/07/28T00:00:00;1988/08/01T00:00:00;127;;;;;;;;;FedEx;;FOB;Credit;12685;0;0;12685
1032;2163;1988/07/28T00:00:00;1988/08/01T00:00:00;144;;;;;;;;;FedEx;;FOB;Credit;775;0;0;775
1033;1384;1988/08/01T00:00:00;1988/08/02T00:00:00;138;;;;;;;;;FedEx;;FOB;Cash;1238;0;0;1238
1034;1680;1988/08/13T00:00:00;1988/08/14T00:00:00;24;;;;;;;;;UPS;;FOB;Check;18532;0;0;18532
1035;1560;1988/08/16T00:00:00;1988/08/17T00:00:00;15;;;;;;;;;UPS;;FOB;Credit;560;0;0;560
1036;5384;1988/08/25T00:00:00;1988/08/26T00:00:00;4;;;;;;;;;DHL;;FOB;Credit;4110;0;0;4110
1037;1984;1988/08/26T00:00:00;1988/08/27T00:00:00;12;;;;;;;;;DHL;;FOB;Credit;3117;0;0;3117
1038;1645;1988/08/26T00:00:00;1988/08/27T00:00:00;72;;;;;;;;;DHL;;FOB;Visa;10152;0;0;10152
1039;3158;1988/08/29T00:00:00;1988/09/01T00:00:00;61;;;;;;;;;"US Mail";;FOB;Visa;536,8;0;0;536,8
1040;6812;1988/09/04T00:00:00;1988/09/05T00:00:00;52;;;;;;;;;"US Mail";;"Net 30";Visa;3632;0;0;3632
1041;4652;1988/09/16T00:00:00;1988/09/17T00:00:00;109;;;;;;;;;"US Mail";;"Net 30";AmEx;7807;0;0;7807
1042;3984;1988/09/24T00:00:00;1988/09/25T00:00:00;9;;;;;;;;;UPS;;"Net 30";AmEx;971,7;0;0;971,7
1043;5132;1988/09/30T00:00:00;1988/10/01T00:00:00;14;;;;;;;;;UPS;;"Net 30";Credit;12455;0;0;12455
1044;5515;1988/10/08T00:00:00;1988/10/09T00:00:00;12;;;;;;;;;UPS;;FOB;Credit;64050;0;0;64050
1045;9841;1988/10/16T00:00:00;1988/10/17T00:00:00;36;;;;;;;;;FedEx;;FOB;Credit;787,8;0;0;787,8
1046;2315;1988/11/12T00:00:00;1988/11/13T00:00:00;24;;;;;;;;;FedEx;;FOB;Check;766,8;0;0;766,8
1047;5515;1988/11/27T00:00:00;1988/11/28T00:00:00;44;;;;;;;;;FedEx;;FOB;Cash;15365;0;0;15365
1048;5432;1988/12/02T00:00:00;1988/12/03T00:00:00;118;;;;;;;;;FedEx;;FOB;Visa;7346;0;0;7346
1049;9841;1988/12/13T00:00:00;1988/12/14T00:00:00;107;;;;;;;;;UPS;;FOB;MC;1809,85;0;0;1809,85
1050;3052;1988/12/24T00:00:00;1988/12/25T00:00:00;94;;;;;;;;;UPS;;FOB;AmEx;6287,85;0;0;6287,85
1051;2165;1989/01/04T00:00:00;1989/01/05T00:00:00;2;;;;;;;;;FedEx;;"Net 30";Credit;325;0;0;325
1052;1351;1989/01/06T00:00:00;1989/01/07T00:00:00;144;;;;;;;;;FedEx;;"Net 30";Credit;16788;0;0;16788
1053;6516;1989/01/15T00:00:00;1989/01/16T00:00:00;145;;;;;;;;;FedEx;;"Net 30";Credit;24650;0;0;24650
1054;5432;1989/01/28T00:00:00;1989/02/01T00:00:00;83;;;;;;;;;UPS;;"Net 30";Visa;14188;0;0;14188
1055;1351;1989/02/04T00:00:00;1989/02/05T00:00:00;29;;;;;;;;;UPS;;"Net 30";Credit;23406;0;0;23406
1056;1513;1989/02/08T00:00:00;1989/02/09T00:00:00;24;;;;;;;;;UPS;;"Net 30";MC;19293,7;0;0;19293,7
1057;1563;1989/02/18T00:00:00;1989/02/19T00:00:00;14;;;;;;;;;UPS;;"Net 30";Credit;1975;0;0;1975
1058;2118;1989/02/21T00:00:00;1989/02/22T00:00:00;8;;;;;;;;;"US Mail";;"Net 30";Credit;12736;0;0;12736
1059;1356;1989/02/24T00:00:00;1989/02/25T00:00:00;109;;"4-976 Sugarloaf Hwy";"Suite 103";"Kapaa Kauai";HI;94766-1234;America;808-555-0269;"US Mail";;FOB;Cash;2150;8,5;0;2150
1060;1231;1989/02/28T00:00:00;1989/03/01T00:00:00;94;;;;;;;;;"US Mail";;FOB;Check;15355;0;0;15355
1061;1563;1989/03/03T00:00:00;1989/03/04T00:00:00;2;;;;;;;;;"US Mail";;FOB;Credit;24277,3;0;0;24277,3
1062;2118;1989/03/08T00:00:00;1989/03/09T00:00:00;11;;;;;;;;;"US Mail";;FOB;Credit;18320;0;0;18320
1063;3042;1989/03/13T00:00:00;1989/03/14T00:00:00;24;;;;;;;;;"US Mail";;FOB;Credit;61869,3;0;0;61869,3
1064;2118;1989/03/24T00:00:00;1989/03/25T00:00:00;83;;;;;;;;;DHL;;"Net 30";Credit;395;0;0;395
1065;6312;1989/03/25T00:00:00;1989/03/26T00:00:00;72;;;;;;;;;UPS;;FOB;Visa;17814;0;0;17814
1066;3054;1989/03/26T00:00:00;1989/03/27T00:00:00;65;;;;;;;;;DHL;;"Net 30";Visa;19812;0;0;19812
1067;1351;1989/04/01T00:00:00;1989/04/02T00:00:00;34;;;;;;;;;FedEx;;FOB;Visa;4495;0;0;4495
